code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
0050,-15339.028,3870,388,-4276.775,,,,
0051,1.028,0,25,-2.392,,,,
0052,346,0,0,-1810.57,,,,
0053,1,0,0,-8.22,,,,
0055,-28,0,0,-51.454,,,,
0056,11910.598,1000,0,3469.29,,,,
0057,0,0,0,-5.718,,,,
0061,-11,0,0,391.619,,,,
006201,-2,-50,0,169.643,51,50,0,0
006203,0,0,0,8,,,,
006204,0,0,0,-1.059,,,,
006205,-17,0,10,173.643,,,,
006206,0,0,0,170.787,,,,
006207,1,0,0,16.853,,,,
006208,-300.538,0,20,-1891.683,,,,
00631L,837.52,0,0,744.855,,,,
00632R,-1498,0,2260,-26931.446,,,,
00633L,1578,0,0,1550.324,,,,
00634R,-10,0,0,-152,,,,
00635U,45.5,0,100,-7587.729,,,,
00636,8,0,-30,423.241,,,,
00636K,0,0,0,0,,,,
00637L,12019,0,120,22141.108,,,,
00638R,-819,0,0,-620,,,,
00639,-198,0,76,599.421,,,,
00640L,35,0,0,520.577,,,,
00641R,0,0,0,76.81,,,,
00642U,21,0,0,-5144.754,,,,
00643,-1,0,0,183.057,,,,
00645,19,0,0,-50.916,,,,
00646,781.281,-1000,0,5372.537,,,,
00647L,0,0,0,-11.223,,,,
00648R,0,0,0,157.65,,,,
00650L,-112,0,0,-2377.468,,,,
00651R,-1,0,0,354.01,,,,
00652,-5,0,0,-474.217,,,,
00653L,0,0,0,14.964,,,,
00654R,0,0,0,59.155,,,,
00655L,455,0,0,600.329,,,,
00656R,0,0,0,-380.93,,,,
00657,1,0,0,21.703,,,,
00657K,0,0,0,0,,,,
00660,-1,0,0,-7,,,,
00661,3,0,-99,48.055,,,,
00662,1168.053,0,0,1427.273,,,,
00663L,35,0,0,3511.741,,,,
00664R,0,0,0,-9696.466,,,,
00665L,-453,0,0,-1766.457,,,,
00666R,4,0,0,-355,,,,
00668,0,0,0,-86.476,,,,
00668K,0,0,0,0,,,,
00669R,0,0,0,9.1,,,,
00670L,0.95,0,-2,53.209,,,,
00671R,0,0,0,982.67,,,,
00674R,0,0,0,267.34,,,,
00675L,493,0,0,783.556,,,,
00676R,0,0,0,507.846,,,,
00678,1,0,0,-7.756,,,,
00679B,-2330.95,50,380,3907.787,13128,13144,51,61
00680L,-201,0,0,4715.433,,,,
00681R,-1,0,0,32,,,,
00682U,0,0,0,-13.485,,,,
00683L,0,0,0,9.91,,,,
00684R,0,0,0,-4,,,,
00685L,13,0,0,280.559,,,,
00686R,0,0,0,83.381,,,,
00687B,-3370.85,50,1180,4706.724,21929,22185,40,19
00687C,0,0,0,0,,,,
00688L,99,0,289,-747.759,,,,
00689R,-50,0,0,49.8,,,,
00690,10,0,0,56.599,,,,
00692,102.025,0,450,454.172,,,,
00693U,0,0,0,-1106.497,,,,
00694B,-1,0,0,-26.31,0,0,0,0
00695B,-1,0,0,-22.115,0,0,0,0
00696B,872,0,0,-1116.475,442,444,0,0
00697B,10,0,0,59.085,34,35,0,0
00700,-194,0,0,-185.873,,,,
00701,1,0,0,17.669,,,,
00702,0,0,0,2.107,,,,
00703,0,0,0,-27.058,,,,
00707R,0,0,0,2.998,,,,
00708L,45,44,91,-3877.173,,,,
00709,-2,0,0,-60.944,,,,
00710B,3,0,0,26.255,,,,
00711B,-20,0,0,91.287,,,,
00712,11,0,0,-5088.075,,,,
00713,2866.144,0,0,4997.508,,,,
00714,1,0,0,73.381,,,,
00715L,367,0,0,-32822.514,,,,
00717,36,0,0,-8.886,,,,
00719B,-635.8,0,-93,73.376,520,182,0,0
00720B,-990.9,0,0,923.844,4156,4180,0,0
00722B,-141,0,0,-9.503,131,123,0,0
00723B,-60,0,0,60,114,114,0,0
00724B,-205,0,0,94.143,56,56,0,0
00725B,-1442,0,0,56.165,1289,1220,0,0
00726B,-25,0,0,39.186,1,1,0,0
00727B,-3,0,0,-2.644,1,1,0,0
00728,1,0,0,106.996,,,,
00730,-3,0,0,31.655,,,,
00731,42,0,0,34.302,,,,
00733,9,0,0,662.934,,,,
00734B,2,0,0,5,110,109,0,0
00735,4,0,0,63,,,,
00736,0,0,9,11,,,,
00737,25,0,0,39.186,,,,
00738U,-5.8,0,0,-1826.598,,,,
00739,-1,0,0,52.429,,,,
00740B,-180,0,0,243.726,125,125,0,0
00741B,23,0,0,-52.624,14,14,0,0
00746B,-358,0,0,335.315,1,1,0,0
00749B,0,0,0,0,0,0,0,0
00750B,0,0,0,0,0,0,0,0
00751B,113,0,0,1444.632,4026,3926,0,0
00752,-26,0,0,-1068.633,,,,
00753L,848,0,0,-2602.72,,,,
00754B,0,0,0,0,0,0,0,0
00755B,-47,0,0,50.019,0,0,0,0
00756B,27,0,0,4.004,21,21,0,0
00757,71.41,0,61,406.326,,,,
00758B,0,0,0,0,0,0,0,0
00759B,0,0,0,-0.003,0,0,0,0
00760B,11,0,0,-12.069,3,3,0,0
00761B,-171,0,0,40.975,31,31,0,0
00762,52.3,0,-3,-167.262,,,,
00763U,0,0,0,-651.472,,,,
00764B,-1542,0,0,1673.243,146,150,0,0
00768B,1544,0,0,2415.13,2,2,0,0
00770,59,0,0,118.367,,,,
00771,0,0,0,-191.944,,,,
00772B,288,0,-20,1053.682,2345,2345,0,0
00773B,86,0,0,8.306,308,308,0,0
00775B,9,0,0,-1.912,,,,
00777B,0,0,0,0,0,0,0,0
00778B,1,0,0,3,0,0,0,0
00779B,-104,0,0,106,0,0,0,0
00780B,6,0,0,0.404,0,0,0,0
00781B,0,0,0,16.657,39,43,0,0
00782B,0,0,0,-53.091,18,18,0,0
00783,-63,0,0,61.98,,,,
00785B,-5,0,0,4.987,0,0,0,0
00786B,1,0,0,0,15,15,0,0
00787B,12,0,0,-0.136,0,0,0,0
00788B,10,0,0,40.144,3,3,0,0
00789B,-1,0,0,34,40,70,0,0
00791B,0,0,0,0,0,0,0,0
00792B,-1,0,0,2.094,0,0,0,0
00793B,-20,0,0,51.839,0,0,0,0
00795B,250,50,0,-814.097,4760,4657,0,0
00799B,1,0,0,-775.663,9,9,0,0
00830,-2761.731,0,0,-1096,,,,
00834B,0,0,0,0,0,0,0,0
00836B,174,0,0,-167.02,0,0,0,0
00840B,0,0,0,0,0,0,0,0
00841B,0,0,0,0,0,0,0,0
00842B,0,0,0,-227,1,0,0,0
00844B,,,,,1,1,0,0
00845B,0,0,0,-1,0,0,0,0
00846B,0,0,0,-4.192,0,0,0,0
00847B,0,0,0,0,0,0,0,0
00848B,0,0,0,0,0,0,0,0
00849B,-10,0,0,8.979,0,0,0,0
00850,18.326,-30,0,235.036,,,,
00851,3,0,0,-80,,,,
00852L,0,0,0,-86.619,,,,
00853B,-6,0,0,74.318,2,2,0,0
00856B,0,0,0,7,0,0,0,0
00857B,-198,0,0,734.55,1086,1094,0,0
00858,119,0,0,-113.246,114,112,0,0
00859B,-10,0,0,3.428,3,3,0,0
00860B,0,0,0,2.713,0,0,0,0
00861,-78,0,0,-570.05,,,,
00862B,-49,0,0,69.151,10,10,0,0
00863B,7,0,0,-3.092,0,0,0,0
00864B,221,0,0,-28.791,22,22,0,0
00865B,9,0,0,-346.709,,,,
00867B,0,0,0,0,0,0,0,0
00870B,-15,0,0,0,0,0,0,0
00875,1,0,0,29.712,,,,
00876,16.12,0,0,-70.046,,,,
00877,351.1,0,0,-291.023,7449,6999,404,429
00878,8146.294,0,100,14341.976,,,,
00881,-195,0,0,-2248.971,,,,
00882,4899.9,0,0,18397.894,,,,
00883B,-1,0,0,-3.05,0,0,0,0
00884B,-21,0,0,31.177,0,0,0,0
00885,288.056,0,80,2154.515,,,,
00886,0,0,0,0.466,4,5,0,0
00887,1777.5,0,0,970.367,34108,34775,828,842
00888,-6,0,0,618.975,242,265,0,0
00890B,2,0,0,-1,0,0,0,0
00891,319,0,0,7887.111,,,,
00892,54,0,0,176.332,,,,
00893,700.406,-200,328,-566.013,,,,
00894,118.3,0,0,-367.305,,,,
00895,15.208,-160,0,255.557,,,,
00896,27,0,0,948.362,,,,
00897,169,0,0,186.537,,,,
00898,9,0,41,50.832,,,,
00899,-6.852,0,0,-337.593,,,,
00900,2076.225,0,0,2898.755,,,,
00901,24,0,0,91.735,,,,
00902,2213,0,0,699.203,,,,
00903,103.773,0,0,60.693,,,,
00904,-39.993,0,0,167.282,,,,
00905,152.884,0,0,-20.038,,,,
00907,9,0,0,439.353,,,,
00908,25,0,0,-145.525,,,,
