TWLVC1|20260921|202609211813|1870|code,fgn,fgnD,inv,invD,dlrH,mgn,mgnChg,shrt,sr,big,bigChg,small,smallChg,holders,holdersChg,mgnRate,mgnCost,mgnConf
0050,-15742.529,-2,2704,4,12570.076,,,,,23.82,,65.62,,3560731,,,,
0051,0.114,2,0,0,1.998,,,,,0.00,,79.99,,12743,,,,
0052,1439.605,2,0,0,983.836,,,,,17.96,,73.01,,456022,,,,
0053,4,4,0,0,-6.702,,,,,45.36,,39.22,,7311,,,,
0055,39.001,1,0,0,229.751,,,,,31.07,,50.39,,16319,,,,
0056,1157.573,1,310,4,-1692.244,,,,,9.14,,76.16,,1656819,,,,
0057,0,0,0,0,0.348,,,,,0.00,,61.65,,3649,,,,
0061,87.394,7,0,0,-61.105,,,,,22.64,,48.29,,6003,,,,
1101,-5824.469,-2,1,4,43.921,,,,,50.74,,35.87,,511642,,,,
1102,293.07,1,52.05,5,33.591,,,,,79.61,,13.99,,101536,,,,
1103,-206,-1,0,0,0,,,,,76.64,,14.09,,74292,,,,
1104,-360,-6,2,1,0,,,,,67.79,,19.60,,56064,,,,
1108,0,0,0,0,0,,,,,74.79,,15.42,,12979,,,,
1109,2,3,0,0,0,,,,,72.96,,14.05,,12069,,,,
1110,-60,-7,0,0,0,,,,,91.42,,3.24,,5172,,,,
1201,339,1,0,0,0,,,,,59.24,,28.10,,87641,,,,
1203,-7,-1,0,0,0,,,,,86.76,,5.75,,55158,,,,
1210,-223.946,-1,2,1,0.011,,,,,60.94,,29.23,,100064,,,,
1215,-435.171,-1,0,0,0,,,,,52.79,,38.51,,97690,,,,
1216,-774.708,-1,104.103,1,-26.164,,,,,86.19,,7.91,,142199,,,,
1217,101,3,0,0,0,,,,,54.12,,30.39,,137585,,,,
1218,-135,-1,0,0,0,,,,,63.30,,25.45,,82575,,,,
1219,47.008,3,0,0,0,,,,,59.11,,27.94,,52865,,,,
1220,5.822,4,0,0,0.167,,,,,60.48,,22.50,,47363,,,,
1225,-1,-1,0,0,0,,,,,86.76,,7.10,,43835,,,,
1227,-164.203,-2,0,0,0,,,,,64.33,,27.88,,53310,,,,
1229,-763.985,-1,3.999,1,0.273,,,,,63.08,,26.99,,103120,,,,
1231,-19.197,-1,0,0,0,,,,,63.62,,30.92,,36321,,,,
1232,-0.243,-1,0,0,0,,,,,72.04,,22.15,,16777,,,,
1233,3,4,0,0,0,,,,,68.44,,12.85,,10243,,,,
1234,-7,-1,0,0,0.921,,,,,74.29,,11.04,,24080,,,,
1235,1,3,0,0,0,,,,,95.42,,2.27,,2914,,,,
1236,1.991,3,0,0,0,,,,,78.77,,11.72,,11601,,,,
1256,-6,-2,0,0,0,,,,,47.11,,28.74,,6298,,,,
