TWLV1|20260923|202609232210|1958|code,name,mkt,high,low,close,chg,lot,wan,kshares,open
0050,元大台灣50,1,113.15,112.3,112.45,0.6,58059,654299,,112.8
0051,元大中型100,1,148,146.7,147,-0.2,45,670,,147.7
0052,富邦科技,1,65.75,65.25,65.45,0.7,13691,89703,,65.3
0053,元大電子,1,255.1,252.9,253,1.55,165,4187,,252.9
0055,元大MSCI金融,1,50.4,49.71,49.88,-0.52,1234,6161,,50.4
0056,元大高股息,1,57.15,56.55,56.6,-0.25,26386,149749,,57.1
0057,富邦摩台,1,336.9,334.4,335.2,1.2,14,468,,336.9
0061,元大寶滬深,1,24.29,24.08,24.12,-0.15,45,108,,24.29
1101,台泥,1,26.1,24.65,25.65,1.1,130649,333674,7523182,24.85
1102,亞泥,1,36.1,35.15,35.95,0.5,11338,40624,3546563,35.4
1103,嘉泥,1,13.25,13.05,13.15,0.05,363,477,832875,13.15
1104,環泥,1,27.05,26.65,26.8,0.2,426,1143,686682,26.75
1108,幸福,1,11.15,11.05,11.05,-0.05,175,195,404738,11.15
1109,信大,1,13.4,13.35,13.35,0,573,703,341159,13.35
1110,東泥,1,15.25,14.9,14.9,-0.15,185,278,572001,15.2
1201,味全,1,11.75,11.65,11.65,-0.05,622,727,506063,11.7
1203,味王,1,45.55,43.3,43.55,0.2,21,93,240000,45.55
1210,大成,1,52.4,51.8,52.3,0.2,681,3540,894767,52.4
1213,大飲,1,7.43,7.2,7.43,-0.01,6,4,56623,7.21
1215,卜蜂,1,106,105,105.5,0.5,916,9656,294790,105.5
1216,統一,1,75.4,74.5,75.4,0.8,7666,57571,5682015,74.9
1217,愛之味,1,10,9.89,9.91,-0.06,553,550,494513,10
1218,泰山,1,14.5,14.4,14.4,-0.05,300,434,499999,14.5
1219,福壽,1,11.7,11.45,11.5,0,189,218,341238,11.55
1220,台榮,1,10.85,10.75,10.75,-0.05,35,38,177078,10.85
1225,福懋油,1,25.75,24.65,24.65,0.15,60,150,242268,25.75
1227,佳格,1,28.3,28.2,28.25,0.05,1117,2932,915090,28.3
1229,聯華,1,40.2,39.95,40,0.05,1587,6356,1831880,39.95
1231,聯華食,1,80.1,79.5,79.7,-0.1,142,1133,328300,79.8
1232,大統益,1,155,154.5,154.5,0,62,963,159975,154.5
1233,天仁,1,28.15,28.05,28.05,-0.05,15,42,90592,28.15
1234,黑松,1,33.25,33.05,33.05,0,83,274,401871,33.1
1235,興泰,1,41.15,38.9,41.15,3.7,225,910,188578,38.9
1236,宏亞,1,25.4,25.1,25.25,-0.1,31,77,86674,25.25
1256,鮮活果汁-KY,1,168,166.5,167,-0.5,47,784,35781,168
1301,台塑,1,64.9,62.9,63.1,-1.5,19144,121595,6365741,64.8
1303,南亞,1,235,223,227.5,-4,54877,1250981,7930822,232
1304,台聚,1,12.45,12.2,12.25,0,1439,1774,1188764,12.35
1305,華夏,1,12.3,12,12.05,0,845,1024,581050,12.05
1307,三芳,1,30.85,30.6,30.65,0,392,1205,397818,30.8
1308,亞聚,1,14.4,14.1,14.2,0.05,1055,1504,593744,14.25
1309,台達化,1,14,13.75,13.85,0.1,1214,1683,397587,13.8
1310,台苯,1,8.92,8.75,8.84,0.11,2120,1877,527870,8.75
1312,國喬,1,15.15,14.6,14.6,-0.1,13509,20132,1506620,14.9
1313,聯成,1,12.4,12.15,12.15,-0.05,2036,2496,1330846,12.2
1314,中石化,1,9.5,8.85,9.01,0.27,99542,91079,3784850,8.85
1315,達新,1,68.5,67.8,68.1,-0.1,10,66,99099,68.5
1316,上曜,1,10.65,10.55,10.6,0.05,762,805,401646,10.55
1319,東陽,1,79.7,78.5,78.8,-0.9,1042,8211,591477,79.7
1321,大洋,1,32.65,32.35,32.5,0,122,396,227228,32.65
1323,永裕,1,21.35,21.1,21.25,-0.1,56,119,91275,21.35
1324,地球,1,10,9.94,9.94,-0.04,46,46,75122,9.98
1325,恆大,1,25.9,25.7,25.75,-0.1,94,242,85281,25.9
1326,台化,1,67.2,65.1,65.4,-1.1,15805,103949,5861186,67
1337,再生-KY,1,4.5,4.41,4.47,0.05,177,79,268955,4.43
1338,廣華-KY,1,14.8,14.6,14.8,0.05,156,229,83840,14.75
