# date,open,high,low,close,lot,wan
20250814,83.6,84.9,82.6,83.7,736,6171
20250815,83.9,83.9,83.2,83.2,326,2720
20250818,84.2,84.2,81.6,81.8,661,5451
20250819,81.9,82,80.6,81.1,385,3128
20250820,80.7,82.9,80.7,81.7,405,3317
20250821,81.7,84.2,81.7,84.1,351,2924
20250822,84.8,84.8,83.4,83.7,208,1746
20250825,84.2,84.6,83.8,83.9,193,1623
20250826,84.1,85.5,83.9,84.8,518,4393
20250827,85,85.5,83.9,84.3,218,1841
20250828,84.3,84.7,82.8,82.8,336,2805
20250829,82.8,84.6,81.5,81.6,348,2863
20250901,81.6,82.4,81,81.6,219,1790
20250902,81.6,82.2,80.8,81.6,230,1873
20250903,81.6,83.2,81.3,82.8,201,1656
20250904,84,88.2,83.3,86.7,940,8068
20250905,86.7,86.7,84,84.2,373,3175
20250908,84.2,84.2,82.2,82.3,383,3171
20250909,82.2,82.9,81.4,81.9,369,3016
20250910,81.9,82.5,81.1,82,291,2383
20250911,82.5,88.9,82,85,1384,11784
20250912,85.8,86,83.1,83.4,399,3344
20250915,84.2,84.2,82.1,82.1,248,2051
20250916,82.2,82.5,82,82.3,143,1176
20250917,82.1,82.8,81.7,81.7,162,1329
20250918,83,84.1,81.8,82,226,1866
20250919,82.1,82.6,81.4,81.9,232,1898
20250922,81.9,82.7,81.7,81.8,324,2662
20250923,82.5,82.5,80.8,81.6,311,2537
20250924,82,82.5,81.3,81.3,191,1559
20250925,82.1,82.8,81.5,82,262,2155
20250926,83.1,84.5,82,82.5,598,4969
20250930,82.9,82.9,82.1,82.7,208,1717
20251001,83,83.8,82.7,82.7,215,1787
20251002,82.3,82.9,81.5,82,231,1898
20251003,82.6,83.1,81.7,82,233,1918
20251007,82.7,83.4,81.8,82.7,297,2455
20251008,83.4,83.4,81.7,82.2,186,1528
20251009,82.8,84.9,81.9,83.5,582,4870
20251013,81.2,82,80.8,81.4,564,4577
20251014,82.3,82.8,78.2,78.5,898,7166
20251015,79.9,82.5,79.2,79.7,865,6971
20251016,80.7,81,79.3,79.8,198,1585
20251017,79.8,80.1,78.5,78.6,338,2677
20251020,79.2,80,78.7,78.8,171,1354
20251021,79.5,80.1,79.2,79.9,169,1346
20251022,80.2,80.2,78.7,79.2,235,1861
20251023,79,79,77.2,78.4,291,2277
20251027,78.4,78.5,77.1,77.7,365,2836
20251028,77.7,78,77,77.1,245,1893
20251029,77.5,77.7,77.2,77.5,139,1077
20251030,77.2,77.4,76,76.5,301,2308
20251031,76.5,77.9,76.5,77.3,207,1599
20251103,77.5,78.4,77.3,77.5,160,1243
20251104,78.2,79.4,77.6,77.9,291,2280
20251105,77.9,77.9,76.5,77.3,149,1153
20251106,78,78.1,77.3,77.5,131,1018
20251107,77.2,77.2,75.9,76,377,2875
20251110,76.1,76.7,74.3,76,215,1628
20251111,76.4,76.8,75.9,76.1,178,1358
20251112,77,78.7,76.8,78.7,372,2897
20251113,78.2,78.2,76.3,76.6,299,2305
20251114,74.5,76.6,73.7,73.9,894,6660
