code,big,small,holders
000218,100.00,0.00,1
000560,100.00,0.00,1
000708,100.00,0.00,1
000779,100.00,0.00,1
000815,100.00,0.00,1
000856,100.00,0.00,1
00400A,9.79,66.08,136469
00401A,21.73,61.36,18115
00402A,13.54,65.44,46277
00403A,9.76,66.21,912433
00404A,10.22,71.49,30162
00405A,11.49,61.45,149183
00406A,10.04,55.23,177069
00407A,16.80,57.91,132102
00408A,18.94,55.53,8286
00409A,25.25,43.00,50882
00410A,22.61,54.44,10094
00411A,19.77,54.91,21353
0050,23.82,65.62,3560731
0051,0.00,79.99,12743
0052,17.96,73.01,456022
0053,45.36,39.22,7311
0055,31.07,50.39,16319
0056,9.14,76.16,1656819
0057,0.00,61.65,3649
0061,22.64,48.29,6003
006201,37.89,48.70,5377
006203,59.82,15.42,3886
006204,0.00,66.79,1151
006205,32.99,44.06,8810
006206,11.18,64.96,3083
006207,0.00,54.41,1610
006208,9.72,86.44,715428
00625K,0.00,65.43,12
00631L,19.32,44.92,307710
00632R,30.68,29.61,64205
00633L,20.25,37.82,3659
00634R,43.31,22.64,756
00635U,15.43,68.90,57502
00636,14.56,60.42,8186
00636K,0.00,99.98,8
00637L,42.26,22.42,11927
00638R,37.14,23.45,499
00639,15.65,52.97,5695
00640L,0.00,56.05,1296
00641R,46.68,22.80,1291
00642U,40.19,43.86,6971
00643,27.26,41.83,3164
00643K,0.00,99.98,5
00645,16.56,61.59,9760
00646,40.01,48.70,114568
00647L,31.08,54.99,1525
00648R,36.62,27.40,2352
00650L,36.50,30.23,2244
00651R,53.36,14.54,373
00652,24.99,59.25,9309
00653L,0.00,65.55,1255
00654R,39.41,22.52,361
00655L,15.45,45.94,2219
00656R,46.86,16.04,310
00657,0.00,71.89,1643
00657K,0.00,99.99,4
00660,0.00,43.96,1026
00661,4.93,72.23,7252
00662,32.28,47.64,111608
00663L,21.95,59.46,14174
00664R,39.81,18.03,9935
00665L,42.38,20.40,5092
00666R,68.50,9.58,121
00668,20.87,56.19,2032
00668K,0.00,100.00,4
00669R,34.52,25.53,3088
00670L,6.48,76.31,12494
00671R,52.75,12.86,3536
00673R,39.51,24.47,16895
00674R,40.40,43.22,1277
00675L,15.01,72.60,18793
00676R,32.29,29.38,4331
00678,0.00,51.45,1876
00679B,37.49,41.17,233338
00680L,38.66,23.08,19113
00681R,70.67,2.91,100
00682U,52.27,7.45,259
00683L,60.00,21.22,319
00684R,73.79,10.88,167
00685L,21.58,40.78,190002
00686R,51.11,13.60,2052
00687B,36.41,40.26,152598
00687C,93.67,6.30,16
00688L,35.42,25.86,9098
00689R,73.94,0.31,46
00690,7.91,79.63,17110
00692,14.99,77.43,91243
00693U,36.60,41.98,2890
00694B,56.88,28.86,2000
00695B,68.80,21.78,2246
00696B,82.06,14.16,10941
00697B,19.24,64.29,6735
00700,5.16,62.74,2595
00701,5.41,88.83,37720
00702,31.04,37.16,1149
00703,0.00,57.88,1016
00706L,22.05,43.80,6037
00707R,77.06,1.45,23
00708L,18.65,58.85,18165
00709,7.44,49.12,2257
00710B,81.03,14.75,3706
00711B,99.18,0.51,796
00712,19.46,39.85,145534
00713,20.86,72.73,269348
00714,15.98,43.56,2374
